id,focus,signal,slack,drag,confidence,score,lane,kind,invariant
g001,schema drift,89,23,23,68,289,ship,baseline,monotonic-signal
g002,lineage depth,110,20,37,96,318,ship,edge,drag-penalty
g003,partition skew,80,56,25,59,311,ship,recovery,confidence-floor
g004,quality gap,113,42,20,100,443,ship,negative,lane-boundary
g005,schema drift,89,37,19,82,347,ship,baseline,monotonic-signal
g006,lineage depth,36,72,41,35,123,watch,edge,drag-penalty
g007,partition skew,101,57,12,59,428,ship,recovery,confidence-floor
g008,quality gap,93,17,20,32,265,ship,negative,lane-boundary
g009,schema drift,93,35,4,23,356,ship,baseline,monotonic-signal
g010,lineage depth,52,46,40,23,111,watch,edge,drag-penalty
g011,partition skew,79,19,17,71,278,ship,recovery,confidence-floor
g012,quality gap,96,43,7,56,402,ship,negative,lane-boundary
g013,schema drift,64,58,35,53,221,ship,baseline,monotonic-signal
g014,lineage depth,96,68,40,56,320,ship,edge,drag-penalty
g015,partition skew,115,40,44,62,311,ship,recovery,confidence-floor
g016,quality gap,40,64,27,70,210,ship,negative,lane-boundary
g017,schema drift,50,43,41,35,107,watch,baseline,monotonic-signal
g018,lineage depth,103,35,28,22,289,ship,edge,drag-penalty
g019,partition skew,89,69,23,20,333,ship,recovery,confidence-floor
g020,quality gap,41,18,43,67,54,hold,negative,lane-boundary
g021,schema drift,109,30,13,95,430,ship,baseline,monotonic-signal
g022,lineage depth,102,39,20,58,362,ship,edge,drag-penalty
g023,partition skew,102,11,25,99,327,ship,recovery,confidence-floor
g024,quality gap,106,69,8,81,505,ship,negative,lane-boundary
g025,schema drift,111,67,22,34,413,ship,baseline,monotonic-signal
g026,lineage depth,73,32,10,58,301,ship,edge,drag-penalty
g027,partition skew,102,52,5,31,421,ship,recovery,confidence-floor
g028,quality gap,32,65,4,22,232,ship,negative,lane-boundary
g029,schema drift,88,39,26,22,260,ship,baseline,monotonic-signal
g030,lineage depth,76,28,39,70,198,ship,edge,drag-penalty
g031,partition skew,117,25,5,55,436,ship,recovery,confidence-floor
g032,quality gap,42,61,31,52,176,watch,negative,lane-boundary
g033,schema drift,63,47,25,55,238,ship,baseline,monotonic-signal
g034,lineage depth,33,42,44,61,68,hold,edge,drag-penalty
g035,partition skew,66,77,34,69,285,ship,recovery,confidence-floor
g036,quality gap,42,62,20,34,204,ship,negative,lane-boundary
g037,schema drift,77,22,25,21,196,ship,baseline,monotonic-signal
g038,lineage depth,54,40,29,105,231,ship,edge,drag-penalty
g039,partition skew,46,51,12,66,258,ship,recovery,confidence-floor
g040,quality gap,46,24,26,94,176,watch,negative,lane-boundary
g041,schema drift,93,48,13,57,380,ship,baseline,monotonic-signal
g042,lineage depth,32,63,8,98,288,ship,edge,drag-penalty
g043,partition skew,49,73,28,80,261,ship,recovery,confidence-floor
g044,quality gap,105,45,40,33,278,ship,negative,lane-boundary
g045,schema drift,49,69,5,57,322,ship,baseline,monotonic-signal
g046,lineage depth,68,48,10,30,290,ship,edge,drag-penalty
g047,partition skew,81,40,35,21,204,ship,recovery,confidence-floor
g048,quality gap,91,74,7,21,414,ship,negative,lane-boundary
g049,schema drift,56,23,37,69,135,watch,baseline,monotonic-signal
g050,lineage depth,42,35,32,54,122,watch,edge,drag-penalty
g051,partition skew,82,44,31,51,261,ship,recovery,confidence-floor
g052,quality gap,62,16,11,54,228,ship,negative,lane-boundary
g053,schema drift,55,74,24,60,277,ship,baseline,monotonic-signal
g054,lineage depth,55,72,32,68,249,ship,edge,drag-penalty
g055,partition skew,59,37,16,33,220,ship,recovery,confidence-floor
g056,quality gap,64,57,10,20,286,ship,negative,lane-boundary
g057,schema drift,114,70,29,104,470,ship,baseline,monotonic-signal
g058,lineage depth,55,44,19,65,242,ship,edge,drag-penalty
g059,partition skew,73,33,5,93,358,ship,recovery,confidence-floor
g060,quality gap,41,30,10,56,199,ship,negative,lane-boundary
g061,schema drift,117,66,14,97,524,ship,baseline,monotonic-signal
g062,lineage depth,70,52,39,79,237,ship,edge,drag-penalty
g063,partition skew,83,47,11,32,331,ship,recovery,confidence-floor
g064,quality gap,104,12,40,56,232,ship,negative,lane-boundary
g065,schema drift,74,67,35,29,245,ship,baseline,monotonic-signal
g066,lineage depth,107,27,13,20,343,ship,edge,drag-penalty
g067,partition skew,83,45,25,20,259,ship,recovery,confidence-floor
g068,quality gap,30,56,32,68,142,watch,negative,lane-boundary
g069,schema drift,95,29,37,53,248,ship,baseline,monotonic-signal
g070,lineage depth,87,53,20,50,337,ship,edge,drag-penalty
g071,partition skew,87,68,34,53,314,ship,recovery,confidence-floor
g072,quality gap,46,8,22,59,125,watch,negative,lane-boundary
g073,schema drift,73,50,17,67,318,ship,baseline,monotonic-signal
g074,lineage depth,90,74,16,32,386,ship,edge,drag-penalty
g075,partition skew,58,53,38,105,233,ship,recovery,confidence-floor
g076,quality gap,90,45,9,103,427,ship,negative,lane-boundary
g077,schema drift,109,9,17,64,341,ship,baseline,monotonic-signal
g078,lineage depth,34,28,43,92,78,hold,edge,drag-penalty
g079,partition skew,44,40,37,55,119,watch,recovery,confidence-floor
g080,quality gap,97,49,14,96,429,ship,negative,lane-boundary
g081,schema drift,83,21,4,78,353,ship,baseline,monotonic-signal
g082,lineage depth,35,9,32,31,26,hold,edge,drag-penalty
g083,partition skew,103,77,37,55,370,ship,recovery,confidence-floor
g084,quality gap,96,42,41,28,236,ship,negative,lane-boundary
g085,schema drift,96,62,24,105,421,ship,baseline,monotonic-signal
g086,lineage depth,100,75,38,105,403,ship,edge,drag-penalty
g087,partition skew,105,49,25,67,380,ship,recovery,confidence-floor
g088,quality gap,67,38,20,52,249,ship,negative,lane-boundary
g089,schema drift,96,35,40,49,247,ship,baseline,monotonic-signal
g090,lineage depth,114,71,10,52,496,ship,edge,drag-penalty
g091,partition skew,82,57,17,58,350,ship,recovery,confidence-floor
g092,quality gap,70,52,22,66,292,ship,negative,lane-boundary
g093,schema drift,111,17,5,31,378,ship,baseline,monotonic-signal
g094,lineage depth,36,72,19,104,280,ship,edge,drag-penalty
g095,partition skew,57,32,7,102,309,ship,recovery,confidence-floor
g096,quality gap,115,50,44,63,332,ship,negative,lane-boundary
